                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.36023,                0.22661,                0.79317,                0.99638,                0.98013,                0.99429,                0.96158,                0.30332,                0.19478,                0.78934,              0.0004754,              0.0004754,              0.0004754
                     79,                0.35709,                0.22765,                0.79445,                0.99394,                0.97981,                0.99422,                0.96032,                 0.3078,                0.19718,                0.78914,              0.0004556,              0.0004556,              0.0004556
                     80,                0.35173,                0.22554,                0.79403,                0.99307,                0.98337,                0.99462,                0.95944,                0.31059,                0.19606,                 0.7914,              0.0004358,              0.0004358,              0.0004358
                     81,                0.35258,                0.22603,                0.79362,                0.99819,                0.98232,                0.99474,                 0.9592,                0.30732,                0.19541,                0.78977,               0.000416,               0.000416,               0.000416
                     82,                0.35459,                 0.2246,                0.79448,                0.99044,                 0.9847,                0.99418,                0.95852,                0.29426,                0.19199,                0.78959,              0.0003962,              0.0003962,              0.0003962
                     83,                0.34861,                0.21975,                0.79512,                0.98927,                0.98515,                0.99384,                0.96107,                0.30198,                 0.1927,                0.78973,              0.0003764,              0.0003764,              0.0003764
                     84,                0.34126,                0.21879,                0.79163,                0.99398,                0.98124,                0.99427,                0.96151,                0.29818,                0.19053,                0.78846,              0.0003566,              0.0003566,              0.0003566
                     85,                0.34085,                0.21721,                0.79233,                0.99281,                0.98219,                0.99437,                 0.9627,                0.29212,                0.18976,                0.78802,              0.0003368,              0.0003368,              0.0003368
                     86,                0.33708,                0.21464,                0.78804,                0.99281,                0.98364,                0.99426,                0.96192,                0.29778,                0.19072,                0.78859,               0.000317,               0.000317,               0.000317
                     87,                0.33917,                0.21581,                0.79242,                0.99342,                0.98628,                0.99462,                0.95894,                 0.3123,                0.19179,                0.78958,              0.0002972,              0.0002972,              0.0002972
                     88,                0.34004,                0.21417,                0.79131,                0.99519,                0.98267,                0.99428,                0.96359,                0.29826,                0.19008,                0.78795,              0.0002774,              0.0002774,              0.0002774
                     89,                0.33415,                0.21118,                0.78928,                  0.994,                0.98295,                0.99465,                0.96344,                0.28755,                0.18653,                0.78687,              0.0002576,              0.0002576,              0.0002576
                     90,                0.30842,                0.19905,                0.77969,                 0.9946,                0.98372,                0.99404,                0.96225,                 0.2939,                0.18924,                0.78867,              0.0002378,              0.0002378,              0.0002378
                     91,                0.31163,                0.19992,                0.78293,                0.99102,                0.98316,                0.99316,                0.96108,                0.29348,                0.18958,                0.78856,               0.000218,               0.000218,               0.000218
                     92,                0.29853,                0.19449,                 0.7772,                0.99459,                0.98237,                0.99419,                0.95976,                0.31217,                0.19328,                0.79027,              0.0001982,              0.0001982,              0.0001982
                     93,                0.29728,                0.19292,                0.78059,                0.99265,                0.98456,                0.99448,                 0.9627,                 0.2948,                 0.1873,                0.78759,              0.0001784,              0.0001784,              0.0001784
                     94,                0.28763,                0.18818,                0.77493,                 0.9949,                0.98456,                0.99462,                0.96501,                0.28883,                0.18462,                0.78708,              0.0001586,              0.0001586,              0.0001586
                     95,                0.28901,                0.18999,                0.78057,                0.99424,                0.98337,                0.99444,                0.96128,                0.29656,                0.18661,                 0.7874,              0.0001388,              0.0001388,              0.0001388
                     96,                0.28839,                0.18956,                0.77815,                0.99445,                0.98278,                0.99433,                0.96374,                0.28805,                0.18331,                0.78731,               0.000119,               0.000119,               0.000119
                     97,                0.28458,                0.18616,                0.77855,                0.99459,                0.98323,                0.99428,                0.96492,                 0.2864,                0.18289,                0.78746,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.28467,                0.18655,                0.77552,                0.99401,                0.98498,                0.99466,                0.96371,                0.29566,                 0.1839,                0.78832,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.28131,                0.18222,                0.77755,                0.99757,                  0.981,                0.99453,                0.96309,                0.29987,                0.18428,                0.78876,               5.96e-05,               5.96e-05,               5.96e-05
